Algorithm,Params,R_Score,Pearson,Spearman,Kendalltau
AdaBoostRegressor,loss:linear-n_estimators:10,0.711580481385,0.846410473251,0.858205910901,0.684514393214
AdaBoostRegressor,loss:linear-n_estimators:50,0.716515208534,0.859884070041,0.844606752065,0.651793320322
AdaBoostRegressor,loss:linear-n_estimators:100,0.726541635107,0.861157315611,0.857877584915,0.664249543134
AdaBoostRegressor,loss:linear-n_estimators:200,0.693492192316,0.841820884175,0.836047224777,0.638666143978
AdaBoostRegressor,loss:linear-n_estimators:500,0.717393016089,0.857665877202,0.845173357061,0.644985511585
AdaBoostRegressor,loss:linear-n_estimators:1000,0.722083592219,0.858181412388,0.851254370071,0.651958861363
AdaBoostRegressor,loss:linear-n_estimators:1500,0.719488667892,0.856544261951,0.853237562643,0.65483486633
AdaBoostRegressor,loss:linear-n_estimators:2000,0.720669283411,0.857585547998,0.852229135909,0.654918130941
AdaBoostRegressor,loss:square-n_estimators:10,0.697606543809,0.8367134531,0.862943498534,0.688507301031
AdaBoostRegressor,loss:square-n_estimators:50,0.716389623697,0.849870955875,0.844383473676,0.651345613471
AdaBoostRegressor,loss:square-n_estimators:100,0.711436466272,0.846124153129,0.852545994048,0.663102522619
AdaBoostRegressor,loss:square-n_estimators:200,0.69974253658,0.843045633636,0.839849390823,0.644262324832
AdaBoostRegressor,loss:square-n_estimators:500,0.714042108081,0.852714925722,0.844350626765,0.644630489745
AdaBoostRegressor,loss:square-n_estimators:1000,0.709652604839,0.849835272437,0.843085070969,0.642350430531
AdaBoostRegressor,loss:square-n_estimators:1500,0.710681748849,0.849034847073,0.840159364115,0.639079312967
AdaBoostRegressor,loss:square-n_estimators:2000,0.710242445285,0.851090280223,0.842887092426,0.642413871141
AdaBoostRegressor,loss:exponential-n_estimators:10,0.66352831807,0.833874004053,0.83395322809,0.651219694054
AdaBoostRegressor,loss:exponential-n_estimators:50,0.714065624616,0.85746264655,0.865533988449,0.677231543808
AdaBoostRegressor,loss:exponential-n_estimators:100,0.701454915602,0.852809750866,0.851641815584,0.656322646909
AdaBoostRegressor,loss:exponential-n_estimators:200,0.721172908443,0.86507804259,0.857293570277,0.662497769686
AdaBoostRegressor,loss:exponential-n_estimators:500,0.711703006454,0.854448899853,0.85294017601,0.656057468754
AdaBoostRegressor,loss:exponential-n_estimators:1000,0.710565052472,0.855394828898,0.84501179139,0.643671901038
AdaBoostRegressor,loss:exponential-n_estimators:1500,0.711543807284,0.858091829622,0.849439197987,0.650378446246
AdaBoostRegressor,loss:exponential-n_estimators:2000,0.714034550631,0.856837158439,0.849406144893,0.649711538842
Bagging,bootstrap:True-n_estimators:10,0.90696739625,0.960410460014,0.960691082897,0.832759239137
Bagging,bootstrap:True-n_estimators:50,0.931443070153,0.970642250926,0.972141670005,0.863332374888
Bagging,bootstrap:True-n_estimators:100,0.929757357636,0.969924085034,0.969448022079,0.857813758326
Bagging,bootstrap:True-n_estimators:200,0.932850372933,0.971896764466,0.970637257305,0.859579715626
Bagging,bootstrap:True-n_estimators:500,0.932991070721,0.972408817429,0.973000227225,0.864987959856
Bagging,bootstrap:True-n_estimators:1000,0.932624669109,0.97207382011,0.973069979616,0.864767215194
Bagging,bootstrap:True-n_estimators:1500,0.932606873332,0.972217704537,0.973393768498,0.864767215194
Bagging,bootstrap:True-n_estimators:2000,0.933199636919,0.972644136266,0.97349107739,0.86531907685
Bagging,bootstrap:False-n_estimators:10,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:50,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:100,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:200,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:500,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:1000,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:1500,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:2000,1.0,1.0,1.0,1.0
DecisionTree,criterion:mse-splitter:best,1.0,1.0,1.0,1.0
DecisionTree,criterion:mse-splitter:random,1.0,1.0,1.0,1.0
DecisionTree,criterion:friedman_mse-splitter:best,1.0,1.0,1.0,1.0
DecisionTree,criterion:friedman_mse-splitter:random,1.0,1.0,1.0,1.0
DecisionTree,criterion:mae-splitter:best,1.0,1.0,1.0,1.0
DecisionTree,criterion:mae-splitter:random,1.0,1.0,1.0,1.0
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:10-loss:ls-min_samples_split:2-min_samples_leaf:1,0.577042477969,0.838702697261,0.862865460403,0.684442805761
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:50-loss:ls-min_samples_split:2-min_samples_leaf:1,0.861520380893,0.93853225184,0.933077197706,0.781456408395
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:100-loss:ls-min_samples_split:2-min_samples_leaf:1,0.937510359851,0.973173295884,0.967962902217,0.851032750146
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:200-loss:ls-min_samples_split:2-min_samples_leaf:1,0.982566435201,0.99216324195,0.98893778287,0.917164159903
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:500-loss:ls-min_samples_split:2-min_samples_leaf:1,0.999059441053,0.99957509164,0.999140151392,0.981651513967
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:1000-loss:ls-min_samples_split:2-min_samples_leaf:1,0.99998918888,0.999994952047,0.999958235002,0.997876246658
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:1500-loss:ls-min_samples_split:2-min_samples_leaf:1,0.999999790289,0.999999900117,0.999974596674,0.998648852977
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:2000-loss:ls-min_samples_split:2-min_samples_leaf:1,0.999999976789,0.999999988793,0.999974596674,0.998648852977
GradientBoostingRegressor,criterion:mse-n_estimators:10-loss:ls-min_samples_split:2-min_samples_leaf:1,0.577042477969,0.838702697261,0.862865460403,0.684442805761
GradientBoostingRegressor,criterion:mse-n_estimators:50-loss:ls-min_samples_split:2-min_samples_leaf:1,0.861520380893,0.93853225184,0.933077197706,0.781456408395
GradientBoostingRegressor,criterion:mse-n_estimators:100-loss:ls-min_samples_split:2-min_samples_leaf:1,0.937510359851,0.973173295884,0.967962902217,0.851032750146
GradientBoostingRegressor,criterion:mse-n_estimators:200-loss:ls-min_samples_split:2-min_samples_leaf:1,0.982566435201,0.99216324195,0.98893778287,0.917164159903
GradientBoostingRegressor,criterion:mse-n_estimators:500-loss:ls-min_samples_split:2-min_samples_leaf:1,0.999059441053,0.99957509164,0.999140151392,0.981651513967
GradientBoostingRegressor,criterion:mse-n_estimators:1000-loss:ls-min_samples_split:2-min_samples_leaf:1,0.99998918888,0.999994952047,0.999958235002,0.997876246658
GradientBoostingRegressor,criterion:mse-n_estimators:1500-loss:ls-min_samples_split:2-min_samples_leaf:1,0.999999790289,0.999999900117,0.999974596674,0.998648852977
GradientBoostingRegressor,criterion:mse-n_estimators:2000-loss:ls-min_samples_split:2-min_samples_leaf:1,0.999999976789,0.999999988793,0.999974596674,0.998648852977
GradientBoostingRegressor,criterion:mae-n_estimators:10-loss:ls-min_samples_split:2-min_samples_leaf:1,0.512247100896,0.76055578119,0.804164260568,0.662892777024
GradientBoostingRegressor,criterion:mae-n_estimators:50-loss:ls-min_samples_split:2-min_samples_leaf:1,0.748162984587,0.871482265293,0.905556247252,0.749343536316
GradientBoostingRegressor,criterion:mae-n_estimators:100-loss:ls-min_samples_split:2-min_samples_leaf:1,0.807662544061,0.903810884949,0.929766530186,0.791489362911
GradientBoostingRegressor,criterion:mae-n_estimators:200-loss:ls-min_samples_split:2-min_samples_leaf:1,0.901759950449,0.952772226244,0.956312556844,0.843148755905
GradientBoostingRegressor,criterion:mae-n_estimators:500-loss:ls-min_samples_split:2-min_samples_leaf:1,0.970518564636,0.985744800681,0.986299683289,0.931211358595
GradientBoostingRegressor,criterion:mae-n_estimators:1000-loss:ls-min_samples_split:2-min_samples_leaf:1,0.989289854415,0.994776522225,0.994619163025,0.960570398702
GradientBoostingRegressor,criterion:mae-n_estimators:1500-loss:ls-min_samples_split:2-min_samples_leaf:1,0.988258362869,0.994162237637,0.997097525791,0.974918801762
GradientBoostingRegressor,criterion:mae-n_estimators:2000-loss:ls-min_samples_split:2-min_samples_leaf:1,0.997039428919,0.99854184299,0.998992896343,0.987059758197
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:10-loss:lad-min_samples_split:2-min_samples_leaf:1,0.501391969924,0.765366994663,0.821199552677,0.651446272796
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:50-loss:lad-min_samples_split:2-min_samples_leaf:1,0.704252228724,0.851028886419,0.897084480876,0.732970878993
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:100-loss:lad-min_samples_split:2-min_samples_leaf:1,0.741531558308,0.870064719418,0.911607636347,0.760473044944
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:200-loss:lad-min_samples_split:2-min_samples_leaf:1,0.783521492932,0.895995511218,0.93231850586,0.787096668938
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:500-loss:lad-min_samples_split:2-min_samples_leaf:1,0.8408379971,0.924492003092,0.952902926937,0.839160834348
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:1000-loss:lad-min_samples_split:2-min_samples_leaf:1,0.852355692075,0.928456833784,0.962624343637,0.857372269001
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:1500-loss:lad-min_samples_split:2-min_samples_leaf:1,0.752729089165,0.876842274972,0.919742984261,0.771061105979
GradientBoostingRegressor,criterion:friedman_mse-n_estimators:2000-loss:lad-min_samples_split:2-min_samples_leaf:1,0.755220054597,0.879472207893,0.923336524157,0.772606318616
GradientBoostingRegressor,criterion:mse-n_estimators:10-loss:lad-min_samples_split:2-min_samples_leaf:1,0.501391969924,0.765366994663,0.821199552677,0.651446272796
GradientBoostingRegressor,criterion:mse-n_estimators:50-loss:lad-min_samples_split:2-min_samples_leaf:1,0.70962264708,0.85397453885,0.89945993256,0.735930163804
